doc_idx,lora,qlora,dora
61,0.40287769784172667,0.3714285714285714,0.3714285714285714
62,0.1793103448275862,0.16161616161616163,0.1824324324324324
63,0.2622950819672131,0.2542372881355932,0.31578947368421045
64,0.3547169811320755,0.3507462686567164,0.38490566037735846
65,0.29951690821256044,0.2647058823529412,0.3222748815165876
66,0.3699059561128527,0.37500000000000006,0.3824451410658307
67,0.34554973821989526,0.300518134715026,0.34693877551020413
68,1.0,0.21505376344086022,0.21505376344086022
69,0.2458100558659218,0.2618384401114206,0.25
70,0.17961165048543692,0.19230769230769232,0.17031630170316303
71,0.2097902097902098,0.21694915254237288,0.2097902097902098
72,0.25236593059936907,0.2578616352201258,0.19254658385093165
73,0.35443037974683544,0.36477987421383645,0.35668789808917195
74,0.32974910394265233,0.3345454545454546,0.29496402877697847
75,0.1674641148325359,0.15130023640661938,0.17619047619047623
76,0.22325581395348837,0.2620087336244542,0.2456140350877193
77,0.22388059701492535,0.21601489757914338,0.22388059701492535
78,0.47058823529411764,0.502092050209205,0.44537815126050423
79,0.15384615384615385,0.19009900990099007,0.19066937119675456
80,0.4371584699453552,0.4263959390862944,0.42622950819672134
81,0.43243243243243246,0.43636363636363634,0.45317220543806647
82,0.3597883597883598,0.3626943005181347,0.3597883597883598
83,0.25742574257425743,0.2558922558922559,0.26885245901639343
84,0.3129770992366412,0.3023255813953488,0.28352490421455945
85,0.2082324455205811,0.20379146919431276,0.2043795620437956
86,0.32926829268292684,0.37500000000000006,0.3233532934131737
87,0.1935483870967742,0.1879588839941263,0.14285714285714288
88,0.3985239852398524,0.3448275862068965,0.28030303030303033
89,0.208067940552017,0.20631578947368423,0.21656050955414013
90,0.25092250922509224,0.21774193548387094,0.2765957446808511
91,0.22033898305084745,0.29045643153526973,0.27118644067796605
92,0.16071428571428567,0.2137404580152672,0.16071428571428567
93,0.09174311926605504,0.09523809523809525,0.0909090909090909
94,0.23762376237623759,0.14937759336099585,0.25082508250825086
95,0.3035714285714286,0.35344827586206895,0.3035714285714286
96,0.22119815668202764,0.2554744525547445,0.2627737226277372
97,0.4822134387351778,0.5059288537549407,0.5138339920948616
98,0.35374149659863946,0.3225806451612903,0.33333333333333337
99,0.20129870129870128,0.1522491349480969,0.21153846153846154
100,0.49411764705882355,0.4774193548387097,0.5497076023391814
101,0.3466666666666667,0.3121387283236994,0.3880597014925374
102,0.19917012448132781,0.24390243902439027,0.22127659574468087
